"","자치구","설치년도","위도","경도","id"
"138","동작구","2014","126.915","37.492393",11590
"139","동작구","2014","126.915","37.492393",11590
"140","동작구","2014","126.915","37.492393",11590
"141","동작구","2014","126.915","37.492393",11590
"142","동작구","2014","126.915","37.492393",11590
"143","동작구","2014","126.915","37.492393",11590
"144","동작구","2014","126.915","37.492393",11590
"145","동작구","2014","126.915","37.492393",11590
"146","동작구","2014","126.915","37.492393",11590
"147","동작구","2019","126.915","37.492393",11590
"148","동작구","2019","126.915","37.492393",11590
"149","동작구","2019","126.915","37.492393",11590
"150","동작구","2019","126.915","37.492393",11590
"151","강남구","2014","127.04713","37.483387",11680
"152","강남구","2014","127.04713","37.483387",11680
"153","강남구","2014","127.04713","37.483387",11680
"154","강남구","2014","127.04713","37.483387",11680
"155","강남구","2014","127.04713","37.483387",11680
"156","강남구","2014","127.04713","37.483387",11680
"157","강남구","2014","127.04713","37.483387",11680
"158","강남구","2014","127.04713","37.483387",11680
"159","강남구","2014","127.04713","37.483387",11680
"160","강남구","2014","127.04713","37.483387",11680
"161","강남구","2014","127.04713","37.483387",11680
"162","강남구","2014","127.04713","37.483387",11680
"163","강남구","2014","127.04713","37.483387",11680
"164","강남구","2014","127.04713","37.483387",11680
"165","강남구","2014","127.04713","37.483387",11680
"166","강남구","2019","127.04713","37.483387",11680
"167","강남구","2019","127.04713","37.483387",11680
"168","강남구","2019","127.04713","37.483387",11680
"169","강남구","2019","127.04713","37.483387",11680
"170","강동구","2014","127.12603","37.529",11740
"171","강동구","2014","127.12603","37.529",11740
"172","강동구","2014","127.12603","37.529",11740
"173","강동구","2014","127.12603","37.529",11740
"174","강동구","2014","127.12603","37.529",11740
"175","강동구","2014","127.12603","37.529",11740
"176","강동구","2014","127.12603","37.529",11740
"177","강동구","2014","127.12603","37.529",11740
"178","강동구","2014","127.12603","37.529",11740
"179","강동구","2014","127.12603","37.529",11740
"180","강동구","2014","127.12603","37.529",11740
"181","강동구","2014","127.12603","37.529",11740
"182","강동구","2014","127.12603","37.529",11740
"183","강동구","2014","127.12603","37.529",11740
"184","강동구","2014","127.12603","37.529",11740
"185","강동구","2014","127.12603","37.529",11740
"186","강동구","2014","127.12603","37.529",11740
"187","강동구","2019","127.12603","37.529",11740
"188","강동구","2019","127.12603","37.529",11740
"189","강동구","2019","127.12603","37.529",11740
"190","강동구","2019","127.12603","37.529",11740
"191","광진구","2014","127.091896","37.547",11215
"192","광진구","2014","127.091896","37.547",11215
"193","광진구","2014","127.091896","37.547",11215
"194","광진구","2014","127.091896","37.547",11215
"195","광진구","2014","127.091896","37.547",11215
"196","광진구","2014","127.091896","37.547",11215
"197","광진구","2014","127.091896","37.547",11215
"198","광진구","2014","127.091896","37.547",11215
"199","광진구","2014","127.091896","37.547",11215
"200","광진구","2014","127.091896","37.547",11215
"201","광진구","2014","127.091896","37.547",11215
"202","광진구","2014","127.091896","37.547",11215
"203","광진구","2014","127.091896","37.547",11215
"204","광진구","2014","127.091896","37.547",11215
"205","광진구","2014","127.091896","37.547",11215
"206","광진구","2014","127.091896","37.547",11215
"207","광진구","2019","127.091896","37.547",11215
"208","광진구","2019","127.091896","37.547",11215
"209","광진구","2019","127.091896","37.547",11215
"210","광진구","2019","127.091896","37.547",11215
"211","광진구","2019","127.091896","37.547",11215
"212","광진구","2019","127.091896","37.547",11215
"213","광진구","2019","127.091896","37.547",11215
"214","광진구","2019","127.091896","37.547",11215
"215","성동구","2014","127.0428","37.53843",11200
"216","성동구","2014","127.0428","37.53843",11200
"217","성동구","2014","127.0428","37.53843",11200
"218","성동구","2014","127.0428","37.53843",11200
"219","성동구","2014","127.0428","37.53843",11200
"220","성동구","2014","127.0428","37.53843",11200
"221","성동구","2019","127.0428","37.53843",11200
"222","성동구","2019","127.0428","37.53843",11200
"223","광진구","2014","127.080925","37.5499",11215
"224","광진구","2014","127.080925","37.5499",11215
"225","광진구","2014","127.080925","37.5499",11215
"226","동작구","2019","126.94501","37.515057",11590
"227","동작구","2019","126.94501","37.515057",11590
"228","동작구","2019","126.94501","37.515057",11590
"229","동작구","2019","126.94501","37.515057",11590
"230","동작구","2019","126.94501","37.515057",11590
"231","동작구","2019","126.94501","37.515057",11590
"232","동작구","2019","126.94501","37.515057",11590
"233","광진구","2014","127.080925","37.5499",11215
"234","강남구","2020","127.041466","37.504757",11680
"235","강남구","2020","127.03633","37.51128",11680
"236","강남구","2020","127.036095","37.510906",11680
"237","강남구","2020","127.1138","37.478252",11680
"238","강남구","2020","127.11348","37.477818",11680
"239","강남구","2020","127.06061","37.48259",11680
"240","강남구","2020","127.07221","37.486977",11680
"241","강남구","2020","127.07297","37.487545",11680
"242","강남구","2020","127.05865","37.484375",11680
"243","강남구","2020","127.065414","37.488968",11680
"244","강남구","2020","127.05387","37.480602",11680
"245","강남구","2020","127.05786","37.476566",11680
"246","강남구","2020","127.06192","37.481388",11680
"247","강남구","2020","127.05836","37.47675",11680
"248","강남구","2020","127.0563","37.47882",11680
"249","강남구","2020","127.07373","37.488953",11680
"250","강남구","2020","127.063515","37.480167",11680
"251","강남구","2020","127.067245","37.48653",11680
"252","강남구","2020","127.04132","37.488976",11680
"253","강남구","2020","127.104675","37.48455",11680
"254","강남구","2020","127.07579","37.492226",11680
"255","강남구","2020","127.11636","37.46569",11680
"256","강남구","2020","127.11884","37.467022",11680
"257","강남구","2020","127.02415","37.505775",11680
"258","강남구","2020","127.05724","37.4858",11680
"259","강남구","2020","127.03766","37.50858",11680
"260","강남구","2020","127.06476","37.51483",11680
"261","강남구","2020","127.052216","37.47177",11680
"262","강남구","2020","127.05378","37.494675",11680
"263","강남구","2020","127.10684","37.464672",11680
"264","강남구","2020","127.078896","37.493233",11680
"265","강남구","2020","127.05961","37.492577",11680
"266","강남구","2020","127.06428","37.492786",11680
"267","강남구","2020","127.06408","37.49246",11680
"268","강남구","2020","127.05546","37.474434",11680
"269","강남구","2020","127.05344","37.49475",11680
"270","강남구","2020","127.056526","37.491585",11680
"271","강남구","2020","127.05655","37.49118",11680
"272","강남구","2020","127.03333","37.522114",11680
"273","강남구","2020","127.05177","37.500908",11680
"274","강남구","2020","127.05858","37.49256",11680
"275","강남구","2020","127.09538","37.472443",11680
"276","강남구","2020","127.10617","37.475124",11680
"277","강남구","2020","127.10729","37.47566",11680
"278","강남구","2020","127.10768","37.476097",11680
"279","강남구","2020","127.04104","37.49154",11680
"280","강남구","2020","127.04896","37.488144",11680
"281","강남구","2020","127.10164","37.47341",11680
"282","강남구","2020","127.05901","37.51414",11680
"283","강남구","2020","127.06236","37.51439",11680
"284","강남구","2020","127.08265","37.489147",11680
"285","강남구","2020","127.05183","37.51238",11680
"286","강남구","2020","127.041794","37.490055",11680
"287","강남구","2020","127.03111","37.50624",11680
"288","강남구","2020","127.05205","37.51578",11680
"289","강남구","2020","127.035164","37.517326",11680
"290","강남구","2020","127.03478","37.515358",11680
"291","강남구","2020","127.051216","37.505447",11680
"292","강남구","2020","127.10996","37.464657",11680
"293","강남구","2020","127.10783","37.463577",11680
